#Table29: Reduced Cu transitions according to the criteria and results obtained in Sect. 11
#
#wavelength/Angstrom, Ion, log(gf)_TOSS, log(gf)_Kurucz, E_low/cm^-1, E_up/cm^-1
#
1025.19,IV,0.19,0.11,217445,314988
1025.24,IV,0.04,0.16,241855,339393
1025.40,IV,-0.34,-0.31,215734,313257
1025.44,IV,0.49,0.52,215734,313253
1025.51,IV,-1.02,-1.02,213665,311177
1025.53,V,-1.85,-1.81,265886,363397
1025.88,IV,-2.14,-2.01,195544,293022
1025.89,IV,-1.88,-1.88,213535,311011
1025.90,IV,-1.02,-0.93,222666,320142
1026.00,IV,0.02,0.02,218726,316192
1026.08,V,-1.61,-1.50,223477,320935
1026.71,V,-0.68,-0.63,234036,331435
1026.80,IV,-0.16,-0.20,222603,319993
1026.98,V,-1.44,-1.45,256273,353646
1027.02,IV,-0.72,-0.65,195544,292913
1027.05,IV,-0.76,-0.64,217621,314988
1027.05,VI,-1.97,-1.92,299251,396617
1027.13,IV,-0.92,-0.95,224959,322317
1027.27,IV,-1.85,-1.70,213665,311011
1027.30,V,-2.42,-2.37,243140,340483
1027.38,VI,-2.31,-2.25,299282,396617
1027.39,IV,0.11,0.19,215133,312467
1027.44,IV,-0.54,-0.54,223623,320953
1027.44,IV,-0.54,-0.54,223623,320953
1027.49,VI,-1.04,-0.99,299293,396617
1027.61,IV,0.21,0.27,199599,296912
1027.61,IV,-0.29,-0.30,214413,311727
1027.69,V,-2.47,-2.47,226311,323617
1027.79,IV,0.19,0.19,225859,323155
1028.18,V,-1.94,-1.88,221664,318923
1028.45,IV,-0.77,-0.78,242530,339764
1028.46,IV,-0.16,-0.10,192741,289974
1028.57,IV,-0.84,-0.81,194339,291562
1028.67,V,-2.10,-2.03,256272,353486
1028.81,IV,-2.13,-2.19,193948,291147
1028.85,V,-1.60,-1.52,226311,323506
1028.92,IV,0.20,0.06,222398,319587
1029.06,IV,0.87,0.92,222527,319704
1029.20,IV,0.26,0.28,214835,311998
1029.39,IV,-1.20,-1.16,221602,318746
1029.52,IV,-0.44,-0.49,243029,340162
1030.01,IV,0.53,0.59,195827,292913
1030.17,IV,-0.75,-0.69,200483,297554
1030.27,IV,0.14,0.19,190528,287589
1030.55,IV,0.48,0.52,190554,287589
1031.05,IV,0.02,0.02,218000,314988
1031.24,IV,-0.63,-0.54,218628,315599
1031.41,IV,-0.15,-0.09,195684,292639
1031.87,IV,-0.12,-0.12,195086,291997
1031.90,IV,0.93,0.99,221602,318510
1031.91,IV,0.84,0.89,214835,311743
1031.96,V,-1.99,-1.97,222401,319304
1032.03,IV,-1.39,-1.53,215734,312630
1032.03,IV,-1.39,-1.53,215734,312630
1032.10,V,-2.02,-2.13,229588,326477
1032.11,IV,0.43,0.40,192753,289642
1032.34,V,-2.28,-2.32,227801,324668
1032.36,IV,0.25,0.31,215133,311998
1032.39,IV,0.15,0.21,242530,339393
1032.41,V,-1.27,-1.20,246477,343337
1032.41,IV,-0.83,-0.70,214413,311274
1032.44,IV,-1.08,-1.09,214319,311177
1032.69,IV,0.19,0.25,200720,297554
1032.80,V,-1.88,-1.83,246477,343301
1032.84,IV,0.21,0.27,192753,289573
1032.87,IV,-0.56,-0.44,217445,314262
1033.01,IV,0.15,0.18,191762,288566
1033.14,IV,-0.67,-0.66,217079,313872
1033.15,IV,0.58,0.64,190528,287320
1033.18,IV,-1.23,-1.22,219403,316192
1033.23,IV,-0.37,-0.36,218815,315599
1033.28,IV,0.29,0.29,243029,339809
1033.30,IV,0.22,0.29,192753,289530
1033.42,IV,-0.18,-0.17,190554,287320
1033.56,IV,0.25,0.29,194132,290885
1033.56,IV,0.25,0.29,194132,290885
1033.70,IV,-1.36,-1.39,232442,329182
1033.74,V,-1.93,-2.05,230532,327268
1033.75,IV,0.07,0.17,243029,339764
1033.78,IV,-1.26,-1.33,215734,312467
1034.04,IV,-0.36,-0.35,199202,295910
1034.05,IV,-0.22,-0.24,195932,292639
1034.16,IV,-0.18,-0.14,213360,310057
1034.21,IV,-1.54,-1.68,214319,311011
1034.32,IV,0.35,0.41,215734,312416
1034.37,V,-1.51,-1.45,246624,343301
1034.49,IV,-0.23,-0.31,222603,319268
1034.62,IV,0.15,0.19,218945,315599
1034.72,IV,-0.25,-0.16,195086,291730
1034.76,IV,0.07,0.08,194132,290774
1034.88,IV,-0.02,0.02,192741,289370
1034.92,IV,0.45,0.48,250623,347249
1035.38,IV,-1.21,-1.11,224959,321542
1035.49,VI,-0.57,-0.71,322792,419365
1035.57,V,-0.54,-0.52,226311,322876
1035.84,IV,-0.16,-0.11,193434,289974
1036.03,IV,-0.85,-0.78,213535,310057
1036.20,IV,0.77,0.82,195055,291562
1036.22,IV,0.03,0.05,213360,309865
1036.30,IV,-1.20,-1.17,193948,290445
1036.43,IV,-0.22,-0.26,195086,291571
1036.47,IV,-1.05,-0.96,214319,310800
1036.70,VI,-2.07,-1.98,309046,405506
1036.77,IV,-1.25,-1.22,195544,291997
1036.88,IV,0.38,0.42,216071,312515
1037.03,IV,-0.62,-0.61,200483,296912
1037.13,IV,0.16,0.14,194132,290553
1037.15,V,-2.35,-2.30,222886,319304
1037.41,V,-2.38,-2.41,239541,335935
1037.53,V,-1.92,-1.87,235053,331435
1037.67,IV,-1.38,-1.26,223623,319993
1037.88,VI,-2.26,-2.14,299251,395601
1037.90,IV,-1.05,-1.03,222398,318746
1037.95,IV,-1.00,-0.98,216071,312416
1038.10,IV,0.05,0.11,213535,309865
1038.20,V,-1.96,-1.91,239615,335935
1038.28,IV,0.00,-0.01,195684,291997
1038.30,IV,-0.72,-0.70,199599,295910
1038.32,V,-1.19,-1.19,256272,352582
1038.58,IV,-1.51,-1.54,198179,294464
1038.89,V,-1.82,-1.78,265886,362143
1039.33,IV,-0.87,-0.76,217079,313295
1039.36,IV,0.08,0.01,195086,291299
1039.50,IV,-0.85,-0.78,213665,309865
1039.55,IV,-0.16,-0.09,219403,315599
1039.58,IV,-1.79,-1.77,225859,322051
1039.58,IV,-1.79,-1.77,225859,322051
1039.58,IV,-0.65,-0.61,200720,296912
1039.58,IV,-0.65,-0.61,200720,296912
1039.61,V,-1.61,-1.58,223214,319404
1039.65,IV,-0.94,-0.87,195544,291730
1039.74,IV,-0.01,0.02,217079,313257
1039.82,IV,-0.57,-0.48,195827,291997
1039.85,V,-1.74,-1.68,265975,362143
1040.03,VI,-0.48,-0.55,299256,395407
1040.04,V,-1.32,-1.30,229774,325923
1040.08,V,-1.22,-1.18,256272,352419
1040.31,VI,-1.66,-1.74,299282,395407
1040.31,IV,-0.20,-0.16,213932,310057
